0 Sea Zone  (3029,2501)  (2865,2606)  (2835,2710)  (3061,2713)  (3171,2577)  | overflowToLeft=false
1 Sea Zone  (2120,2399)  (2184,2398)  (2245,2397)  (2307,2394)  (2373,2390)  | overflowToLeft=false
2 Sea Zone  (2005,2521)  (2065,2519)  (2005,2579)  (2067,2581)  (2129,2522)  (2129,2582)  (2006,2639)  (2067,2639)  (2131,2637)  | overflowToLeft=false
3 Sea Zone  (2060,2784)  (2126,2783)  (2191,2781)  (2257,2779)  (2321,2777)  (2388,2776)  (2457,2772)  (2523,2769)  (2589,2767)  (2305,2837)  (2377,2836)  (2563,2830)  | overflowToLeft=false
4 Sea Zone  (2691,2960)  (2707,3017)  (2587,3125)  (2771,3074)  (2628,2943)  (2687,2905)  (2759,2976)  | overflowToLeft=false
5 Sea Zone  (2367,3075)  (2101,3351)  (2155,3343)  (2207,3303)  (2033,3339)  (2251,3177)  (2223,3246)  | overflowToLeft=false
6 Sea Zone  (1921,3057)  (1901,3113)  (1891,3170)  (1885,3231)  (1827,3209)  (1905,2997)  (1951,3164)  (1982,2953)  (1995,3010)  (2055,2941)  (2127,2930)  (2193,2921)  | overflowToLeft=false
7 Sea Zone  (1361,3002)  (1423,3002)  (1489,3002)  (1363,3068)  (1426,3067)  (1491,3066)  (1391,3128)  (1462,3128)  (1526,3128)  (1394,3190)  (1464,3191)  (1531,3189)  (1410,3262)  (1475,3261)  (1448,3322)  (1600,3186)  (1662,3186)  (1668,3249)  (1730,3251)  (1546,3001)  (1612,2995)  (1364,2943)  (1424,2940)  (1488,2937)  (1550,2933)  (1452,3386)  (1688,2986)  | overflowToLeft=false
8 Sea Zone  (1557,2576)  (1615,2575)  (1675,2573)  (1559,2639)  (1616,2641)  (1680,2636)  | overflowToLeft=false
9 Sea Zone  (1657,2312)  (1719,2310)  (1659,2372)  (1721,2370)  (1783,2370)  (1847,2370)  (1785,2427)  (1853,2428)  | overflowToLeft=false
10 Sea Zone  (2074,1912)  (2072,1974)  (2137,1912)  (2138,1971)  (2096,1849)  (2161,1849)  (2146,2039)  (2079,2034)  (1995,1973)  (2001,2044)  (2224,1736)  (2294,1709)  (2364,1685)  (2428,1666)  (2358,1626)  (2422,1611)  | overflowToLeft=false
11 Sea Zone  (1098,2330)  (1158,2332)  (1215,2331)  (1099,2393)  (1159,2393)  (1218,2392)  | overflowToLeft=false
12 Sea Zone  (901,3376)  (1136,3025)  (1198,3025)  (1080,3026)  (1020,3028)  (1168,3092)  (1229,3092)  (1169,3153)  (1236,3155)  (1166,3216)  (1231,3218)  (1163,3280)  (1105,3280)  (1047,3283)  (981,3283)  (921,3282)  (984,3224)  (921,3221)  (921,3166)  (983,3162)  | overflowToLeft=false
13 Sea Zone  (1409,3614)  (1459,3614)  (1508,3614)  (1319,3701)  (1371,3713)  (1250,3678)  (1515,3816)  (1458,3777)  (1435,3722)  | overflowToLeft=false
14 Sea Zone  (1752,3997)  (1812,3996)  (1759,4056)  (1822,4056)  (1759,4116)  (1823,4114)  (1545,3730)  (1669,3784)  (1673,3842)  (1698,4180)  | overflowToLeft=false
15 Sea Zone  (2060,4280)  (2002,4280)  (2002,4222)  (2064,4222)  (2128,4307)  | overflowToLeft=false
16 Sea Zone  (2149,3971)  (2202,3969)  (2267,3975)  (2324,3983)  (2441,4009)  (2383,3994)  (2388,3879)  (2194,3908)  | overflowToLeft=false
17 Sea Zone  (382,3513)  (466,3464)  (351,3314)  (413,3312)  (355,3377)  (416,3375)  | overflowToLeft=false
18 Sea Zone  (1556,2037)  (1103,1944)  (1160,1943)  (1221,1943)  (1103,2003)  (1160,2002)  (1224,2003)  (1281,1943)  (1284,2002)  (1342,1945)  (1345,2000)  (1159,2063)  (1225,2061)  (1284,2060)  (1344,2061)  (1106,2065)  | overflowToLeft=false
19 Sea Zone  (1818,1965)  (1879,1964)  (1644,1860)  (1727,1795)  (1867,1727)  (1935,1644)  (1990,1644)  (2017,1593)  (2046,1647)  (2119,1667)  (1937,1903)  (1882,1864)  (1662,1807)  (1880,1664)  (1988,1813)  | overflowToLeft=false
20 Sea Zone  (2030,1322)  (2101,1322)  (2027,1389)  (2098,1386)  (1956,1392)  (2175,1389)  | overflowToLeft=false
21 Sea Zone  (1720,1052)  (1793,1048)  (1869,1043)  (1724,1117)  (1794,1116)  (1870,1111)  (1725,1187)  (1795,1187)  (1871,1182)  | overflowToLeft=false
22 Sea Zone  (453,1621)  (513,1618)  (578,1617)  (450,1687)  (511,1685)  (576,1685)  (449,1755)  (512,1754)  (579,1752)  | overflowToLeft=false
23 Sea Zone  (312,3040)  (744,4403)  (812,4399)  (778,4466)  (844,4464)  (825,4532)  (893,4528)  (964,4528)  (897,4598)  (966,4599)  (970,4669)  (1030,4595)  (1041,4667)  (1013,4738)  | overflowToLeft=false
24 Sea Zone  (571,2639)  (628,2640)  (684,2640)  (569,2702)  (627,2702)  (686,2702)  | overflowToLeft=false
25 Sea Zone  (822,1092)  (887,1091)  (1128,744)  (1186,742)  (1246,740)  (1124,806)  (1189,804)  (1253,801)  (1126,866)  (1194,865)  (1252,865)  | overflowToLeft=false
26 Sea Zone  (314,4062)  (374,4060)  (316,4126)  (377,4124)  (377,4186)  (437,4187)  (379,4249)  (444,4245)  (377,4315)  (444,4313)  (311,4000)  (377,3997)  (308,3940)  (254,3939)  (250,3881)  (248,3819)  (250,3758)  (192,3752)  (192,3691)  (256,3694)  (259,3629)  (200,3625)  | overflowToLeft=true
27 Sea Zone  (884,4911)  (886,4973)  (827,4913)  (826,4853)  (888,4850)  (769,4853)  (826,4795)  (764,4795)  (701,4795)  (826,4733)  (763,4733)  (702,4735)  (760,4671)  (704,4672)  (644,4671)  (706,4616)  (644,4614)  (581,4615)  (646,4555)  (577,4553)  (517,4556)  (644,4497)  (580,4497)  | overflowToLeft=false
28 Sea Zone  (1814,5305)  (1510,5431)  (1572,5430)  (1639,5428)  (1511,5492)  (1570,5491)  (1639,5491)  (1705,5425)  (1707,5489)  (1768,5419)  (1770,5485)  (1709,5555)  (1779,5555)  (1638,5557)  | overflowToLeft=false
29 Sea Zone  (2221,5713)  (2280,5711)  (2160,5711)  (2159,5772)  (2223,5775)  (2292,5774)  (2351,5713)  (2357,5775)  (2158,5653)  (2225,5649)  (2417,5713)  (2419,5775)  (2295,5835)  (2362,5836)  (2428,5837)  (2090,5771)  (2093,5704)  (2089,5644)  (2289,5650)  (2801,5739)  (2865,5745)  (2939,5745)  (2802,5812)  (2873,5812)  (2940,5813)  (3006,5743)  (3012,5815)  (2803,5875)  (2877,5877)  | overflowToLeft=false
30 Sea Zone  (3996,5478)  (4066,5476)  (4137,5478)  (4209,5472)  (3990,5556)  (4065,5556)  (4142,5551)  (4219,5546)  (3991,5633)  (4069,5630)  (4143,5625)  (4219,5620)  | overflowToLeft=false
31 Sea Zone  (3565,4324)  (3631,4323)  (3564,4391)  (3630,4390)  (3564,4458)  (3631,4456)  (3501,4460)  (3693,4321)  (3597,4262)  (3659,4260)  (3863,4328)  | overflowToLeft=false
32 Sea Zone  (3216,5220)  (3278,5221)  (3339,5216)  (3216,5289)  (3274,5285)  (3338,5282)  | overflowToLeft=false
33 Sea Zone  (2531,5377)  (2442,5296)  (2519,5292)  (2436,5233)  (2506,5232)  (2584,5231)  (2592,5290)  (2603,5371)  (2654,5231)  (2661,5290)  (2674,5362)  (2727,5220)  (2738,5292)  | overflowToLeft=false
34 Sea Zone  (2490,5028)  (2556,5027)  (2622,5030)  (2620,4950)  (2627,4799)  (2547,4797)  (2624,4728)  (2331,4704)  (2266,4635)  (2211,4554)  | overflowToLeft=false
35 Sea Zone  (2851,4645)  (2914,4644)  (2985,4647)  (2849,4722)  (2917,4719)  (2986,4719)  (2849,4790)  (2919,4788)  (2990,4789)  (3217,4770)  (3288,4769)  (3203,4687)  (2950,4523)  (3024,4523)  (2950,4454)  (3022,4450)  | overflowToLeft=false
36 Sea Zone  (4264,3963)  (4324,3961)  (4266,3903)  (4328,3903)  (4226,4026)  (4287,4027)  (4292,4104)  (4367,4100)  (4292,4169)  (4368,4170)  (4296,4247)  (4222,4251)  (4224,4320)  (4299,4316)  | overflowToLeft=false
37 Sea Zone  (3666,4751)  (3730,4750)  (3797,4747)  (3670,4817)  (3729,4818)  (3795,4817)  (3670,4883)  (3731,4885)  (3798,4882)  (3669,4952)  (3734,4951)  (3800,4949)  (3669,5015)  (3732,5015)  (3802,5011)  (3664,4681)  (3732,4677)  (3794,4675)  | overflowToLeft=false
38 Sea Zone  (4427,4614)  (4486,4613)  (4439,4677)  (4381,4677)  (4320,4677)  (4265,4677)  (4209,4677)  (4549,4597)  (4607,4547)  (4667,4497)  (4716,4445)  (4765,4388)  (4818,4339)  (4867,4279)  (4915,4221)  (5015,4075)  (5113,3907)  (5144,3849)  (5181,3791)  (5201,3728)  (5074,3848)  | overflowToLeft=false
39 Sea Zone  (4608,4710)  (4668,4707)  (4608,4777)  (4672,4774)  (4611,4841)  (4670,4835)  | overflowToLeft=false
40 Sea Zone  (5380,4307)  (5449,4304)  (5380,4379)  (5454,4378)  (5519,4300)  (5524,4382)  (5374,4449)  (5455,4450)  (5363,4519)  (5441,4521)  | overflowToLeft=false
41 Sea Zone  (5751,2743)  (5810,2743)  (5749,2681)  (5807,2679)  (5753,2621)  (5813,2618)  (5743,2561)  (5802,2557)  (5743,2500)  (5805,2493)  (5736,2441)  (5801,2432)  (5681,2443)  (5685,2505)  (5683,2565)  (5689,2625)  (5689,2687)  (5691,2747)  (5683,2377)  (5738,2373)  (5802,2367)  | overflowToLeft=false
42 Sea Zone  (5189,1969)  (5192,2029)  (5256,2031)  (5316,2031)  (5378,2031)  (5377,1971)  (5315,2093)  (5382,2091)  (5314,2153)  (5382,2154)  (5253,2155)  (5189,2157)  (5186,2217)  (5250,2215)  (5314,2212)  (5012,1828)  (5069,1857)  (5049,1924)  (5120,1961)  (5445,2087)  (5448,2156)  | overflowToLeft=false
43 Sea Zone  (4975,1612)  (5040,1610)  (4984,1682)  (5052,1676)  (4977,1238)  (5047,1237)  (4974,1310)  (5054,1312)  (4905,1310)  (4916,1384)  (4826,1358)  (4846,1431)  | overflowToLeft=false
44 Sea Zone  (4744,740)  (4807,741)  (4745,800)  (4806,801)  (4741,876)  (4814,873)  (4875,804)  (4951,800)  (4880,866)  (4947,866)  | overflowToLeft=false
45 Sea Zone  (4060,1081)  (4124,1080)  (4188,1078)  (4062,1150)  (4128,1144)  (4195,1144)  (4128,1212)  (4192,1211)  | overflowToLeft=false
46 Sea Zone  (4789,2030)  (4804,2096)  (4822,2170)  (4953,1980)  (4973,2048)  (4981,2126)  (4909,1903)  (4899,1826)  (4880,2400)  (4959,2408)  (4887,2476)  (4964,2484)  | overflowToLeft=false
47 Sea Zone  (5357,2621)  (5420,2620)  (5356,2685)  (5422,2687)  (5357,2751)  (5426,2747)  (5355,2553)  (5419,2549)  (5349,2489)  (5413,2483)  (5486,2481)  (5489,2549)  (5490,2622)  (5492,2690)  (5491,2749)  (5344,2424)  (5417,2420)  (5334,2362)  (5411,2356)  | overflowToLeft=false
48 Sea Zone  (5107,3444)  (5105,3512)  (5145,3362)  (5101,3290)  (5187,3284)  (5211,3196)  (5012,3484)  | overflowToLeft=false
49 Sea Zone  (4621,3914)  (4687,4029)  (4765,4040)  (4904,3811)  (4794,3710)  (4845,3556)  (4951,3742)  | overflowToLeft=false
50 Sea Zone  (4663,3407)  (4726,3405)  (4663,3466)  (4726,3465)  (4604,3525)  (4663,3523)  | overflowToLeft=false
